subject_label	current_object_id	ingredient_yaml	review_status	disposition_notes
Achromoviromycin	kgmicrobe.compound:achromoviromycin	data/ingredients/mapped/Achromoviromycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Actinohivin	kgmicrobe.compound:actinohivin	data/ingredients/mapped/Actinohivin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Actinomycetin	kgmicrobe.compound:actinomycetin	data/ingredients/mapped/Actinomycetin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Alboverticillin	kgmicrobe.compound:alboverticillin	data/ingredients/mapped/Alboverticillin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Ascosin	kgmicrobe.compound:ascosin	data/ingredients/mapped/Ascosin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Azacolutin	kgmicrobe.compound:azacolutin	data/ingredients/mapped/Azacolutin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Azureomycin	kgmicrobe.compound:azureomycin	data/ingredients/mapped/Azureomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Bandamycin	kgmicrobe.compound:bandamycin	data/ingredients/mapped/Bandamycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Camphomycin	kgmicrobe.compound:camphomycin	data/ingredients/mapped/Camphomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Canarius	kgmicrobe.compound:canarius	data/ingredients/mapped/Canarius.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Candimycin	kgmicrobe.compound:candimycin	data/ingredients/mapped/Candimycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Carcinomycin	kgmicrobe.compound:carcinomycin	data/ingredients/mapped/Carcinomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Caryomycin	kgmicrobe.compound:caryomycin	data/ingredients/mapped/Caryomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Cellostatin	kgmicrobe.compound:cellostatin	data/ingredients/mapped/Cellostatin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Chaninin	kgmicrobe.compound:chaninin	data/ingredients/mapped/Chaninin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Cladomycin	kgmicrobe.compound:cladomycin	data/ingredients/mapped/Cladomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Collinomycin	kgmicrobe.compound:collinomycin	data/ingredients/mapped/Collinomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Congocidin	kgmicrobe.compound:congocidin	data/ingredients/mapped/Congocidin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Cytovirin	kgmicrobe.compound:cytovirin	data/ingredients/mapped/Cytovirin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Danomycin	kgmicrobe.compound:danomycin	data/ingredients/mapped/Danomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Danubomycin	kgmicrobe.compound:danubomycin	data/ingredients/mapped/Danubomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Etabetacin	kgmicrobe.compound:etabetacin	data/ingredients/mapped/Etabetacin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Exfoliatin	kgmicrobe.compound:exfoliatin	data/ingredients/mapped/Exfoliatin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Flavensomycin	kgmicrobe.compound:flavensomycin	data/ingredients/mapped/Flavensomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Grasseriomycin	kgmicrobe.compound:grasseriomycin	data/ingredients/mapped/Grasseriomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Grisamine	kgmicrobe.compound:grisamine	data/ingredients/mapped/Grisamine.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Halomicin	kgmicrobe.compound:halomicin	data/ingredients/mapped/Halomicin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Hortesin	kgmicrobe.compound:hortesin	data/ingredients/mapped/Hortesin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Indochrome	kgmicrobe.compound:indochrome	data/ingredients/mapped/Indochrome.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Phyllomycin	kgmicrobe.compound:phyllomycin	data/ingredients/mapped/Phyllomycin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Primocarcin	kgmicrobe.compound:primocarcin	data/ingredients/mapped/Primocarcin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Sarcidin	kgmicrobe.compound:sarcidin	data/ingredients/mapped/Sarcidin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
Xanthocidin	kgmicrobe.compound:xanthocidin	data/ingredients/mapped/Xanthocidin.yaml	NO_LOCAL_DUPLICATE_NO_OLS_CANDIDATE	No prior OLS candidate in YAML evidence; no normalized duplicate representative found in local mapped records.
